"filename", "language", "JavaScript", "JSON", "Ignore", "comment", "blank", "total"
"c:\PADHAI\webwiz hackathon\backend\.prettierignore", "Ignore", 0, 0, 2, 0, 0, 2
"c:\PADHAI\webwiz hackathon\backend\.prettierrc", "JSON", 0, 10, 0, 0, 1, 11
"c:\PADHAI\webwiz hackathon\backend\package-lock.json", "JSON", 0, 2301, 0, 0, 1, 2302
"c:\PADHAI\webwiz hackathon\backend\package.json", "JSON", 0, 30, 0, 0, 1, 31
"c:\PADHAI\webwiz hackathon\backend\src\app.js", "JavaScript", 32, 0, 0, 4, 8, 44
"c:\PADHAI\webwiz hackathon\backend\src\controllers\answer.controller.js", "JavaScript", 105, 0, 0, 5, 27, 137
"c:\PADHAI\webwiz hackathon\backend\src\controllers\auth.controller.js", "JavaScript", 308, 0, 0, 13, 80, 401
"c:\PADHAI\webwiz hackathon\backend\src\controllers\course.controller.js", "JavaScript", 99, 0, 0, 1, 24, 124
"c:\PADHAI\webwiz hackathon\backend\src\controllers\document.controller.js", "JavaScript", 89, 0, 0, 5, 21, 115
"c:\PADHAI\webwiz hackathon\backend\src\controllers\module.controller.js", "JavaScript", 99, 0, 0, 2, 26, 127
"c:\PADHAI\webwiz hackathon\backend\src\controllers\question.controller.js", "JavaScript", 123, 0, 0, 4, 27, 154
"c:\PADHAI\webwiz hackathon\backend\src\db\db.js", "JavaScript", 15, 0, 0, 0, 3, 18
"c:\PADHAI\webwiz hackathon\backend\src\middlewares\auth.middleware.js", "JavaScript", 34, 0, 0, 10, 10, 54
"c:\PADHAI\webwiz hackathon\backend\src\middlewares\error-handler.middleware.js", "JavaScript", 44, 0, 0, 8, 11, 63
"c:\PADHAI\webwiz hackathon\backend\src\middlewares\handle-upload-errors.middleware.js", "JavaScript", 16, 0, 0, 6, 2, 24
"c:\PADHAI\webwiz hackathon\backend\src\middlewares\upload.middleware.js", "JavaScript", 28, 0, 0, 1, 6, 35
"c:\PADHAI\webwiz hackathon\backend\src\middlewares\validator.middleware.js", "JavaScript", 14, 0, 0, 2, 5, 21
"c:\PADHAI\webwiz hackathon\backend\src\models\answer.model.js", "JavaScript", 25, 0, 0, 0, 2, 27
"c:\PADHAI\webwiz hackathon\backend\src\models\course.model.js", "JavaScript", 29, 0, 0, 0, 2, 31
"c:\PADHAI\webwiz hackathon\backend\src\models\document.model.js", "JavaScript", 33, 0, 0, 0, 2, 35
"c:\PADHAI\webwiz hackathon\backend\src\models\module.model.js", "JavaScript", 30, 0, 0, 0, 2, 32
"c:\PADHAI\webwiz hackathon\backend\src\models\question.model.js", "JavaScript", 34, 0, 0, 0, 2, 36
"c:\PADHAI\webwiz hackathon\backend\src\models\user.model.js", "JavaScript", 114, 0, 0, 7, 9, 130
"c:\PADHAI\webwiz hackathon\backend\src\routes\answer.route.js", "JavaScript", 27, 0, 0, 5, 8, 40
"c:\PADHAI\webwiz hackathon\backend\src\routes\auth.route.js", "JavaScript", 34, 0, 0, 2, 15, 51
"c:\PADHAI\webwiz hackathon\backend\src\routes\course.route.js", "JavaScript", 32, 0, 0, 3, 7, 42
"c:\PADHAI\webwiz hackathon\backend\src\routes\document.route.js", "JavaScript", 34, 0, 0, 3, 7, 44
"c:\PADHAI\webwiz hackathon\backend\src\routes\module.route.js", "JavaScript", 32, 0, 0, 3, 7, 42
"c:\PADHAI\webwiz hackathon\backend\src\routes\question.route.js", "JavaScript", 25, 0, 0, 4, 8, 37
"c:\PADHAI\webwiz hackathon\backend\src\server.js", "JavaScript", 15, 0, 0, 0, 3, 18
"c:\PADHAI\webwiz hackathon\backend\src\services\answer-workflow.service.js", "JavaScript", 27, 0, 0, 1, 5, 33
"c:\PADHAI\webwiz hackathon\backend\src\utils\api-error.js", "JavaScript", 23, 0, 0, 0, 2, 25
"c:\PADHAI\webwiz hackathon\backend\src\utils\api-response.js", "JavaScript", 9, 0, 0, 0, 1, 10
"c:\PADHAI\webwiz hackathon\backend\src\utils\async-handler.js", "JavaScript", 8, 0, 0, 0, 1, 9
"c:\PADHAI\webwiz hackathon\backend\src\utils\constants.js", "JavaScript", 12, 0, 0, 1, 3, 16
"c:\PADHAI\webwiz hackathon\backend\src\utils\mail.js", "JavaScript", 68, 0, 0, 0, 8, 76
"c:\PADHAI\webwiz hackathon\backend\src\validators\answer.validator.js", "JavaScript", 32, 0, 0, 2, 6, 40
"c:\PADHAI\webwiz hackathon\backend\src\validators\auth.validator.js", "JavaScript", 82, 0, 0, 0, 10, 92
"c:\PADHAI\webwiz hackathon\backend\src\validators\course.validator.js", "JavaScript", 28, 0, 0, 0, 5, 33
"c:\PADHAI\webwiz hackathon\backend\src\validators\document.validator.js", "JavaScript", 23, 0, 0, 4, 4, 31
"c:\PADHAI\webwiz hackathon\backend\src\validators\module.validator.js", "JavaScript", 27, 0, 0, 0, 5, 32
"c:\PADHAI\webwiz hackathon\backend\src\validators\question.validator.js", "JavaScript", 39, 0, 0, 0, 8, 47
"Total", "-", 1848, 2341, 2, 96, 385, 4672
